feature,importance
mood_avg,0.5057918538199859
circumplex.arousal_trend,0.092636984394924
circumplex.valence_trend,0.023300304489532016
mood_trend,0.01905562106036797
appCat.travel_trend,0.01687608344061404
mood_std,0.015812198091043776
activity_avg,0.015631585451078133
appCat.social_std,0.014772520850598629
circumplex.valence_avg,0.013380784836543829
appCat.other_avg,0.013050918532717675
appCat.social_avg,0.011984009396463394
circumplex.arousal_std,0.011803781039510639
mood_max,0.01137227372796568
appCat.entertainment_min,0.011122099097845797
activity_trend,0.010479972381336324
appCat.entertainment_trend,0.010379161669205501
mood_min,0.010125000281731973
appCat.other_std,0.009686080887041782
appCat.social_max,0.009679420683243746
appCat.travel_std,0.009597627512505246
appCat.social_trend,0.009145455396200113
appCat.communication_min,0.008138753188751374
screen_trend,0.007966535293032487
screen_avg,0.007740296181972737
screen_max,0.007637898854836721
activity_std,0.007602917602689727
appCat.communication_trend,0.007510059516047144
circumplex.valence_std,0.007064877297019342
appCat.other_trend,0.006811755451294115
appCat.social_min,0.006782841675463768
appCat.other_min,0.006600154166254231
circumplex.arousal_avg,0.006224976191378758
screen_std,0.005904251639742509
appCat.communication_std,0.005481645602689037
activity_max,0.005335102476722142
appCat.entertainment_avg,0.005206531639178857
appCat.entertainment_std,0.005159800942087699
appCat.travel_max,0.004957685804154244
activity_min,0.004790185977452845
appCat.communication_avg,0.004694912393570217
appCat.travel_min,0.004560846788087509
circumplex.valence_max,0.0044948622693215656
appCat.communication_max,0.004123858759392148
screen_min,0.0035123228239042504
appCat.travel_avg,0.003369814175790668
circumplex.valence_min,0.0033058347979731213
circumplex.arousal_max,0.0025977808253265858
appCat.other_max,0.002442130200737165
circumplex.arousal_min,0.002433214855429352
appCat.entertainment_max,0.0018644155692434461
